ID,Institution,Deg_Prog,Semester,Age,Gender,Mother_Tong,No_of_Lang,Spk_prof_Urdu,Spk_prof_Eng,Spk_prof_Pash,Spk_prof_Balo,Spk_prof_Brah,Spk_prof_Sind,Spk_prof_Sara,Spk_prof_Pers,Spk_prof_Punj,Spk_prof_Hind,Spk_prof_Other,NameOtherLang,Lang_Aca_Ex,Sp_Slf_As,Rd_Slf_As,Wr_Slf_As,Lis_Slf_As,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,Item51,Item52,Item53,Item54
001,3,5,3,20,2,6,4,1,1,1,0,0,0,0,1,0,0,0,                      .00,1,2,2,2,2,1,6,1,1,7,2,1,6,1,2,2,2,7,6,1,1,7,2,1,1,7,7,7,2,6,1,1,1,2,1,7,6,6,2,6,2,6,7,1,2,6,7,6,7,6,7,7,6,2,2,6,6,7,7
002,3,5,3,20,2,1,4,1,1,1,0,0,0,0,0,0,0,1,Turkish,0,2,1,1,1,2,6,1,2,5,2,5,5,5,2,5,2,5,6,5,5,2,6,2,5,2,4,6,6,5,4,6,6,4,5,6,5,6,4,6,4,4,3,6,1,6,5,44,2,2,4,5,6,6,4,5,2,5,2
003,3,5,3,20,2,8,3,1,1,0,0,0,0,0,0,0,1,0, ,0,2,1,2,2,7,5,7,6,7,2,5,3,7,6,7,6,4,6,7,6,6,6,6,6,6,6,6,4,6,6,6,6,4,6,6,6,6,2,6,2,7,6,7,2,4,7,7,6,7,6,9,5,6,7,6,7,7,4
004,3,5,3,20,2,4,2,1,1,0,0,0,0,0,0,0,0,0, ,0,3,2,2,2,6,6,7,4,2,1,6,4,7,4,7,2,4,4,6,5,6,4,6,6,3,5,6,3,7,5,3,6,4,3,5,5,5,5,5,2,6,6,4,3,4,6,6,4,4,4,3,4,4,6,4,7,4,3
005,3,5,3,19,2,2,4,1,1,0,1,1,0,0,0,0,0,0, ,0,2,2,2,2,1,1,6,4,4,6,1,1,4,7,1,4,1,2,2,4,2,1,2,4,4,6,6,4,6,4,4,4,4,4,6,6,3,6,4,1,6,6,4,1,1,4,2,4,4,4,1,1,4,4,4,6,4,1
006,3,6,5,22,2,1,4,1,1,1,0,0,0,0,1,0,0,0, ,1,3,2,2,3,4,1,5,4,7,1,4,4,7,3,2,4,4,3,7,4,5,4,4,7,5,4,7,2,7,4,6,6,6,4,6,6,5,4,4,4,6,6,6,7,2,6,4,4,6,4,2,5,4,6,6,6,7,4
007,3,6,1,21,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,2,1,1,1,2,7,7,7,7,4,7,7,7,6,5,2,7,1,7,7,4,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,5,7,1,1,5,7,1,7,7,7,7,7,7,7,7,7,5,7,7,7,7
008,3,7,1,19,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,1,1,2,1,1,6,7,6,6,4,6,4,6,6,1,4,6,6,6,6,4,4,4,6,7,6,6,6,6,2,2,6,6,6,7,6,6,1,7,4,4,2,7,2,6,6,6,6,6,6,6,7,6,1,7,6,6,6
009,3,6,5,20,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,1,1,1,1,1,6,7,6,7,1,7,6,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,1,7,7,7,4,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,7
010,3,6,5,22,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,2,1,2,2,5,4,7,6,7,2,7,7,7,1,3,4,7,1,7,7,4,4,7,7,7,7,7,7,7,7,1,7,7,7,7,4,7,5,7,1,7,6,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,4
011,3,6,1,20,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,1,1,2,1,2,7,7,7,7,3,7,6,7,6,1,2,6,7,7,7,5,6,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,1,7,1,7,1,7,1,7,7,7,7,7,7,7,7,7,1,7,5,7,7
012,3,6,5,22,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,1,999,999,999,5,6,7,7,7,4,7,7,7,5,5,7,7,4,7,7,4,7,7,7,7,6,7,6,7,6,5,7,7,7,7,7,6,4,7,7,7,5,3,5,7,6,7,7,6,7,7,7,7,6,7,6,7,7
013,3,6,5,22,2,1,3,1,1,0,0,0,0,0,1,0,0,0, ,1,999,999,999,999,6,7,7,6,7,3,7,7,7,1,6,6,7,6,6,7,6,7,7,6,5,6,7,7,7,5,3,6,7,6,7,7,7,6,7,7,6,6,5,6,7,7,7,6,6,7,6,7,7,7,6,6,7,7
014,3,6,5,22,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,1,1,1,2,5,7,7,4,7,6,7,7,6,5,7,6,7,1,4,6,1,2,2,6,7,7,4,1,7,1,4,3,7,7,7,4,7,7,7,4,2,7,3,5,3,1,5,7,4,7,7,7,7,7,4,4,7,7
015,3,5,3,20,2,3,4,1,1,1,0,1,0,0,0,0,0,0, ,1,1,1,2,2,4,5,7,7,6,1,7,5,7,7,1,7,5,7,7,7,7,5,7,7,7,7,7,5,6,5,1,7,7,7,7,7,5,2,7,1,7,6,7,1,7,7,7,7,6,7,5,6,7,3,7,7,7,5
016,3,5,3,22,2,1,4,1,1,1,0,0,0,0,1,0,0,0, ,0,2,2,2,1,3,2,7,4,7,2,5,2,6,1,6,2,2,2,6,6,2,2,6,6,6,5,5,6,4,2,2,6,2,2,6,6,6,2,6,6,4,6,2,6,6,6,4,6,4,2,6,6,2,6,2,6,6,2
017,3,8,3,20,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,2,1,1,2,2,5,4,6,3,3,5,2,6,6,6,4,5,6,6,6,5,7,6,3,7,5,7,5,6,3,1,1,5,3,6,6,7,2,6,2,7,6,3,1,7,6,6,5,6,6,5,6,3,6,7,7,7,2
018,3,8,3,20,2,3,4,1,1,0,1,1,0,0,0,0,0,0, ,1,2,2,2,2,2,5,7,6,7,1,7,3,7,4,1,6,6,7,7,7,4,6,6,7,7,7,7,7,7,6,1,7,7,7,7,7,5,7,7,7,7,6,7,7,7,5,7,7,7,7,6,7,2,5,7,7,7,7
019,3,8,3,20,2,5,3,1,1,0,0,0,0,0,0,1,0,0, ,1,2,2,3,1,2,3,1,5,4,3,1,2,2,6,2,6,6,6,7,6,7,7,5,4,4,6,7,6,6,6,2,7,7,6,6,6,7,2,6,6,6,3,6,4,4,6,5,4,6,6,5,6,4,5,6,6,6,4
020,3,8,3,20,2,7,3,1,1,0,0,0,0,1,0,0,0,0, ,0,3,3,3,3,6,2,5,4,6,1,5,2,6,1,6,2,2,1,6,5,3,2,2,6,3,5,6,6,6,5,2,6,5,2,6,5,6,5,5,2,5,5,2,2,5,2,5,5,5,5,2,2,5,6,2,5,6,5
021,3,8,3,19,2,9,3,1,1,0,0,0,0,0,0,0,0,1,Kashmiri,1,2,2,2,2,3,5,4,5,4,3,2,3,4,5,3,2,7,5,4,3,2,4,3,2,5,4,3,4,3,3,4,3,4,4,4,3,4,3,4,2,4,4,4,2,3,3,3,3,4,3,3,3,3,4,4,4,4,2
022,3,8,3,999,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,0,3,999,999,999,6,6,4,3,4,4,5,2,6,2,4,5,7,2,6,6,6,6,6,5,2,2,6,5,6,5,3,6,2,4,4,5,4,999,5,2,4,999,4,4,6,4,999,4,4,5,5,4,5,4,5,999,4,5
023,3,8,3,20,2,10,5,1,1,1,0,0,0,0,1,0,0,1,Dari,1,1,1,1,1,5,6,5,7,7,2,7,7,6,5,1,6,7,6,3,6,4,6,7,4,7,6,7,6,7,6,7,4,6,6,7,7,7,2,7,4,6,2,7,4,6,3,7,5,5,6,6,7,5,1,5,4,6,6
024,3,8,3,20,2,4,2,1,1,0,0,0,0,0,0,0,0,0, ,1,2,1,2,1,2,1,6,2,2,1,4,4,4,2,5,4,1,6,1,1,2,1,2,2,6,4,6,6,6,2,1,6,6,7,6,6,7,2,6,4,5,2,6,2,2,2,2,5,3,2,2,2,3,3,5,6,7,2
025,3,5,1,18,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,1,2,2,2,2,6,3,4,4,6,4,6,4,6,6,3,6,3,3,7,6,4,6,7,5,7,6,7,5,7,5,2,7,6,6,7,6,6,4,5,3,5,5,3,2,4,6,6,5,6,5,4,6,4,5,6,6,7,5
026,3,5,1,19,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,0,3,2,1,2,6,5,7,5,999,2,6,4,5,4,5,3,4,2,3,3,4,6,7,7,5,5,6,5,4,5,5,5,3,3,6,6,6,5,6,4,5,5,4,5,5,4,5,4,3,5,4,5,5,3,3,4,5,6
027,3,5,1,20,2,1,999,1,0,1,0,0,0,0,0,0,0,0, ,0,3,2,2,2,6,5,6,5,7,1,999,6,6,2,7,6,5,1,6,6,6,5,6,6,5,6,5,6,7,7,3,7,6,5,6,6,7,6,6,5,6,7,5,5,6,7,6,6,5,6,5,5,6,7,5,7,7,5
028,3,5,1,19,2,5,3,1,1,0,0,0,0,0,0,1,0,0, ,1,3,1,2,1,6,2,1,4,6,6,6,6,1,4,6,6,5,6,6,6,7,6,7,7,6,6,7,6,7,7,4,7,6,6,7,7,7,4,6,2,6,6,4,1,6,7,7,6,6,6,4,7,6,6,6,6,7,2
029,3,5,1,18,2,3,4,1,1,0,1,1,0,0,0,0,0,0, ,1,2,1,1,1,6,2,7,4,6,6,6,6,7,4,6,6,5,6,6,6,7,6,7,7,6,6,7,6,7,7,4,7,7,6,7,7,7,4,6,2,6,6,6,1,6,7,7,6,6,6,4,7,6,6,6,6,7,2
030,3,5,1,20,2,2,3,1,1,0,1,0,0,0,0,0,0,0, ,0,3,2,2,2,6,6,5,4,6,4,5,4,6,3,6,4,3,4,5,7,7,6,6,6,4,5,6,6,7,6,1,7,7,6,7,7,7,4,5,4,7,6,4,3,7,7,7,5,6,5,4,6,6,7,6,7,7,4
031,3,5,1,18,2,999,3,1,1,0,0,0,0,0,0,1,0,0, ,0,3,2,2,2,6,6,5,4,6,4,5,6,6,3,6,4,3,4,5,7,7,6,6,6,4,5,6,6,7,6,2,7,7,6,7,7,7,4,5,4,7,6,4,3,7,7,7,5,6,5,4,6,6,7,6,7,7,4
032,3,5,1,20,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,0,3,2,2,3,5,6,7,6,5,6,6,1,5,3,7,6,1,7,7,7,6,5,7,7,7,6,7,7,6,7,7,7,7,7,7,7,6,4,7,6,7,7,7,1,5,5,7,4,4,5,6,7,7,6,7,7,6,1
033,3,5,5,21,2,4,2,1,1,0,0,0,0,0,0,0,0,0, ,1,2,2,1,3,1,2,7,6,6,4,6,6,6,7,2,4,7,6,6,6,6,4,7,7,7,6,6,6,7,6,6,7,6,7,6,6,7,2,7,2,7,6,7,7,7,6,7,6,6,4,7,6,6,6,6,6,6,6
034,3,5,5,20,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,1,2,2,2,5,7,7,7,6,2,7,7,7,4,2,6,7,5,6,7,6,7,6,6,6,7,7,7,6,4,5,5,6,6,7,7,7,2,6,4,6,3,3,2,6,5,6,6,5,6,6,7,6,3,6,5,7,6
035,3,5,5,21,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,1,3,2,2,1,3,6,6,6,3,3,5,7,5,1,5,4,7,3,3,6,4,7,7,5,6,7,7,7,7,5,3,6,7,5,5,7,7,5,7,3,4,6,4,1,7,1,5,6,4,5,7,7,7,4,1,7,7,4
036,3,5,1,20,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,2,2,2,2,1,5,6,6,5,4,5,2,5,6,2,4,6,6,6,6,5,6,6,6,6,6,6,5,7,5,6,5,7,5,7,6,7,3,6,5,6,5,4,2,6,7,7,7,5,6,6,6,2,2,6,6,6,6
037,3,5,1,19,2,6,4,1,1,1,0,0,0,0,1,0,0,0, ,1,2,1,2,2,1,5,6,5,5,4,5,2,6,6,2,4,6,6,6,6,5,6,6,6,6,6,6,5,7,5,6,5,7,5,7,6,7,3,6,5,6,5,4,2,6,7,7,7,5,6,6,7,2,2,6,6,7,6
038,3,9,1,19,2,3,5,1,1,0,1,1,1,0,0,0,0,0, ,0,2,999,999,999,6,7,7,5,5,3,7,6,7,1,6,6,7,1,7,6,2,7,7,6,4,7,7,4,6,6,2,7,6,7,6,5,3,6,6,3,7,6,4,2,6,7,3,7,6,7,7,6,7,6,5,7,6,6
039,3,10,1,19,2,3,5,1,1,0,1,1,1,0,0,0,0,0, ,1,2,1,2,1,6,7,7,5,5,3,7,6,7,1,6,5,7,2,7,6,6,7,7,6,4,7,7,4,6,6,2,7,6,7,6,5,3,6,6,3,7,6,2,2,6,6,5,5,5,4,6,6,5,6,4,6,6,7
040,3,10,1,19,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,1,1,1,1,1,6,6,6,7,7,2,4,6,6,4,2,5,4,2,6,2,6,6,6,999,7,7,4,6,6,6,7,6,7,7,7,7,7,6,6,1,6,7,1,6,7,6,6,6,2,2,6,6,6,6,4,7,6,6
041,3,10,1,20,2,1,999,0,0,1,0,0,0,0,0,0,0,0, ,1,1,1,1,1,6,5,7,6,6,1,6,6,6,2,6,6,6,2,6,2,6,1,7,6,4,6,6,2,6,6,2,6,6,7,7,7,6,6,7,1,7,6,6,1,6,1,7,7,7,6,1,6,6,7,1,7,7,1
042,3,999,1,20,2,4,999,1,0,1,0,0,0,0,0,0,0,0, ,1,999,999,999,999,1,6,6,2,6,2,5,1,7,2,2,7,6,2,7,4,6,6,7,4,7,6,6,6,2,6,2,7,7,6,6,7,6,4,7,7,7,6,2,2,6,7,6,6,7,6,2,1,6,7,7,6,6,7
043,3,10,1,19,2,4,3,1,1,1,0,0,0,0,0,0,0,0, ,1,2,11,1,1,6,5,7,7,6,2,7,6,7,6,6,6,6,6,6,2,6,1,7,6,4,6,6,2,6,6,2,6,6,7,7,7,6,6,7,1,7,6,1,6,6,1,7,7,7,6,1,6,6,7,1,7,7,1
044,3,10,1,19,2,2,6,1,1,0,1,1,1,0,0,1,0,0, ,0,2,1,1,1,2,6,7,7,6,2,7,4,7,6,1,6,6,2,2,6,4,2,6,6,7,6,6,4,7,1,4,7,6,7,7,7,6,2,7,6,7,6,7,6,7,2,7,7,6,6,6,6,4,1,7,7,6,6
045,3,9,7,22,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,0,3,1,2,2,6,2,7,2,6,2,7,4,7,6,7,7,7,6,7,6,7,5,7,6,7,6,7,7,7,6,2,7,6,7,7,7,6,6,7,1,7,5,7,5,7,7,7,6,7,6,6,7,1,7,6,7,7,4
046,3,9,5,999,2,2,4,1,1,0,1,1,0,0,0,0,0,0, ,1,2,11,2,2,5,2,5,5,5,2,5,6,7,3,5,6,6,1,6,999,2,2,4,5,2,5,5,6,5,999,2,6,6,2,2,5,7,2,4,5,5,2,6,4,3,999,4,5,5,2,5,999,4,4,5,2,5,4
047,3,9,7,21,2,4,4,1,1,0,0,0,1,0,0,1,0,0, ,0,2,2,2,2,6,6,7,5,7,4,5,7,6,3,1,2,6,4,6,7,5,7,7,6,4,7,7,5,5,2,2,5,6,2,4,6,7,2,7,5,6,4,2,4,7,3,6,4,2,6,7,6,6,2,5,7,6,7
048,3,9,5,999,2,8,4,1,1,0,0,0,1,0,0,0,1,0, ,1,22,2,2,2,1,7,1,5,6,3,4,5,6,1,5,5,6,2,6,2,2,6,6,6,4,3,2,3,7,6,3,4,5,2,2,5,7,2,4,2,5,3,2,2,4,2,999,5,2,2,4,6,4,5,4,5,6,4
049,3,9,5,999,2,1,4,1,1,1,1,0,0,0,0,0,0,0, ,1,2,1,2,1,5,2,5,5,6,1,5,2,5,1,6,5,2,1,6,999,2,2,4,5,2,5,5,5,6,2,1,2,5,2,2,5,7,2,4,2,5,5,2,2,4,2,4,5,2,2,4,6,4,5,2,4,2,2
050,3,9,5,20,2,11,4,1,1,0,0,1,1,0,0,0,0,0, ,0,999,999,999,999,6,2,1,1,6,2,1,6,6,1,2,6,6,2,1,1,1,2,6,2,2,6,6,6,2,3,2,4,2,2,6,6,6,2,5,4,2,6,1,3,7,6,3,4,3,3,6,6,2,3,4,999,6,6
051,3,9,5,23,2,999,999,1,1,0,1,1,0,0,0,0,0,0, ,1,2,2,2,1,7,1,7,6,7,2,7,7,6,2,6,7,6,2,7,7,7,1,7,7,6,7,7,6,7,7,2,6,4,6,7,7,7,6,6,6,7,6,1,7,7,7,6,6,7,6,5,6,5,5,6,6,7,7
052,3,9,7,22,2,2,4,1,1,0,1,1,0,0,0,0,0,0, ,1,3,1,2,1,7,6,7,5,7,2,7,3,7,1,6,7,7,2,6,5,7,6,7,7,7,7,7,7,7,6,1,7,7,6,7,6,7,7,6,6,7,7,7,6,7,7,6,7,7,7,6,5,5,7,6,6,7,6
053,3,9,7,20,2,3,4,1,1,0,0,1,0,0,1,0,0,0, ,1,1,1,2,1,7,7,7,7,7,1,7,7,6,1,4,6,6,1,6,7,4,7,7,6,5,4,7,7,7,2,1,7,6,2,4,7,7,5,4,2,7,6,2,5,7,7,7,7,7,7,6,7,4,4,7,7,6,5
054,3,9,7,21,2,3,4,1,1,1,1,1,1,0,0,0,0,0, ,1,1,1,1,1,7,7,7,7,6,2,7,7,7,2,5,7,7,2,7,7,7,6,7,7,7,7,7,6,7,6,2,7,2,2,7,7,7,7,6,6,6,6,2,2,7,6,6,6,4,6,6,7,4,4,6,6,7,7
055,3,9,7,23,2,1,4,1,1,1,0,0,0,0,1,0,0,0, ,1,2,1,2,2,3,1,7,4,7,2,6,4,7,1,5,4,5,1,5,4,5,3,5,5,6,5,7,6,7,6,1,7,4,4,7,6,6,3,5,2,7,4,3,3,7,7,7,2,2,6,4,6,5,5,4,7,7,7
056,3,9,7,20,2,2,7,1,1,0,1,1,1,0,0,1,0,0, ,0,2,1,1,1,6,7,7,6,7,2,7,7,7,7,6,5,7,6,4,7,6,5,6,7,7,7,7,7,7,6,4,7,7,7,7,5,7,7,7,2,5,3,4,2,7,7,7,7,7,7,7,7,7,2,4,4,7,7
057,3,9,7,23,2,2,8,1,1,0,1,0,1,1,1,1,0,1,Turkish,0,2,1,1,1,7,7,7,7,7,6,7,7,7,7,4,6,7,6,4,7,4,7,7,5,7,7,7,7,7,5,1,5,7,7,7,5,7,7,7,2,5,2,7,2,7,7,7,7,7,7,7,7,7,2,7,7,7,7
058,3,10,7,22,2,1,4,1,1,1,0,0,0,0,0,1,0,0, ,0,1,1,2,2,2,1,7,4,5,4,6,7,6,6,5,6,6,6,7,5,6,7,7,6,7,6,7,6,7,4,6,7,6,7,7,7,6,4,7,7,7,5,6,2,7,6,6,6,7,5,5,7,5,7,6,7,6,7
059,3,10,7,25,2,10,3,1,1,0,0,0,0,0,1,0,0,0, ,1,2,1,1,2,2,4,6,2,6,6,6,4,6,6,5,6,5,6,6,6,4,7,5,6,7,6,7,6,7,7,2,6,7,6,7,7,4,5,6,2,6,5,6,4,7,5,6,5,6,7,7,6,6,6,6,7,6,4
060,3,10,7,25,2,10,3,1,1,0,0,0,0,0,1,0,0,0, ,1,1,1,1,2,1,2,7,7,6,7,6,7,7,7,6,5,7,7,3,6,7,7,7,7,7,7,6,3,6,1,7,6,7,7,7,7,7,4,7,7,7,7,7,3,7,7,7,7,7,7,7,7,4,5,7,7,7,7
061,3,10,7,22,2,10,3,1,1,0,0,0,0,0,1,0,0,0, ,1,2,1,1,2,1,4,7,7,7,7,6,7,7,7,6,5,7,7,3,7,1,7,7,7,7,7,7,2,7,3,7,7,7,7,7,7,7,5,7,7,7,5,7,1,7,7,7,7,7,7,7,7,5,5,7,7,7,7
062,3,10,7,21,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,0,2,1,1,1,4,7,6,4,6,5,3,4,6,5,4,3,4,6,4,6,2,2,6,3,4,6,2,2,6,2,5,4,6,4,4,4,6,4,6,1,4,5,5,2,4,4,999,3,4,4,2,4,4,4,6,4,4,4
063,3,10,7,20,2,2,3,1,1,0,1,0,0,0,0,0,0,0, ,0,2,1,2,1,2,5,7,4,4,2,4,4,6,5,4,6,4,5,4,3,2,4,4,5,7,6,7,6,6,4,7,6,4,7,4,4,4,3,7,1,4,4,2,4,4,6,7,4,4,4,4,6,3,4,7,7,6,4
064,3,10,7,21,2,12,3,1,1,1,0,0,0,1,0,0,0,1,Jaffarkii,1,2,1,1,1,4,5,6,4,6,3,5,6,6,5,4,3,6,6,6,6,6,5,6,5,6,6,6,3,6,2,5,6,6,6,6,6,6,6,6,2,5,5,4,2,6,4,4,6,5,5,5,6,6,4,4,4,4,4
065,3,10,7,22,2,8,4,1,1,0,0,0,0,0,0,1,1,0, ,1,2,2,3,2,1,6,7,4,1,7,4,6,7,7,5,2,5,7,6,6,6,7,3,6,6,6,6,6,6,2,7,2,3,5,7,7,7,7,1,6,7,6,1,1,3,1,7,1,5,1,6,6,6,7,6,1,1,7
066,3,10,7,22,2,2,3,1,1,0,1,0,0,0,0,0,0,0, ,0,3,2,1,1,1,4,7,5,7,1,7,4,7,6,3,7,7,6,7,7,5,6,999,7,6,6,7,7,7,6,1,5,5,5,7,7,7,7,7,5,6,7,7,7,6,999,6,5,7,7,6,7,999,5,7,999,6,7
067,3,10,7,22,2,5,3,1,1,0,0,0,0,0,0,1,0,0, ,1,2,2,2,2,1,6,7,5,7,6,7,4,7,7,6,1,7,6,7,7,5,6,7,6,6,7,7,6,7,7,7,7,7,5,7,7,7,7,7,2,7,6,6,1,7,7,7,6,1,7,7,7,2,6,7,7,7,4
068,3,10,7,22,2,2,4,1,1,0,1,0,1,1,0,0,0,0, ,0,2,2,2,2,1,7,7,4,6,7,4,6,7,7,5,6,4,6,6,6,6,7,4,6,6,6,6,6,6,2,3,7,6,5,7,7,7,2,6,1,7,6,2,1,6,6,7,5,6,6,6,6,5,7,6,6,7,7
069,3,10,7,22,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,1,2,1,2,2,2,4,7,6,2,6,7,7,7,7,6,6,7,7,3,7,7,6,6,6,7,6,7,5,6,6,2,6,7,7,7,6,4,7,6,5,6,6,7,1,6,6,7,7,7,6,6,6,5,6,7,7,6,5
070,3,11,1,19,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,2,1,1,3,1,7,7,6,7,5,7,7,7,6,5,7,7,6,6,6,3,6,6,6,5,5,6,7,6,5,6,6,7,6,6,7,6,2,7,2,7,3,5,1,7,6,7,6,6,6,6,6,6,5,6,7,6,7
071,3,10,7,22,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,1,2,1,2,2,2,3,7,3,2,3,7,6,7,7,6,7,7,7,3,6,7,7,6,6,7,6,6,5,6,7,7,6,7,7,7,6,5,5,6,6,7,6,7,6,6,5,6,6,7,5,7,7,3,6,6,7,6,5
072,3,10,7,21,2,1,4,1,1,1,0,0,0,0,0,1,0,0, ,1,2,2,3,2,6,6,7,6,6,3,6,3,4,3,4,6,6,2,5,5,5,5,5,6,6,5,1,4,5,4,4,5,6,6,6,5,6,6,4,5,1,6,4,4,6,5,6,5,6,5,2,6,5,5,4,6,6,4
073,3,11,1,21,2,6,4,1,1,0,0,0,0,0,1,0,0,1,Korean,1,2,2,2,2,1,4,5,3,4,2,4,999,6,6,2,1,6,6,3,5,1,6,6,4,6,7,7,6,6,3,4,6,7,7,6,7,7,2,7,4,6,4,6,2,7,1,4,4,1,6,6,7,5,3,6,6,7,4
